datetime,posts,following,followers
2024-11-16T18:32:05.885226,10309,1499,32597
2024-11-16T18:33:23.069503,10309,1499,32598
2024-11-16T18:34:32.666443,10309,1499,32598
2024-11-16T18:35:42.217208,10309,1499,32599
2024-11-16T18:36:52.209911,10309,1499,32602
2024-11-16T18:38:14.138368,10309,1499,32604
2024-11-16T18:39:32.861606,10309,1499,32605
2024-11-16T18:40:55.691722,10309,1499,32607
2024-11-16T18:42:05.191959,10309,1499,32609
2024-11-16T18:43:28.711546,10309,1499,32611
2024-11-16T18:44:38.335609,10309,1499,32613
2024-11-16T18:45:58.662364,10309,1499,32616
2024-11-16T18:47:24.152551,10309,1499,32616
2024-11-16T18:48:39.170351,10309,1499,32619
2024-11-16T18:50:05.865091,10309,1499,32620
2024-11-16T18:51:25.357849,10309,1499,32621
2024-11-16T18:52:35.798634,10309,1499,32624
2024-11-16T18:53:46.401175,10309,1499,32628
2024-11-16T18:55:02.861430,10309,1499,32630
2024-11-16T18:56:13.069569,10309,1499,32632
2024-11-16T18:57:50.807010,10309,1499,32635
2024-11-16T18:59:04.233946,10309,1499,32638
2024-11-16T19:00:14.004252,10309,1499,32639
2024-11-16T19:01:31.209141,10309,1499,32642
2024-11-16T19:02:40.752532,10309,1499,32643
2024-11-16T19:03:50.442690,10309,1499,32644
2024-11-16T19:04:59.756172,10309,1499,32647
2024-11-16T19:06:09.745263,10309,1499,32650
2024-11-16T19:07:18.980190,10309,1499,32650
2024-11-16T19:08:28.687608,10309,1499,32651
2024-11-16T19:09:39.152744,10309,1499,32652
2024-11-16T19:10:50.711601,10309,1499,32653
2024-11-16T19:12:02.217181,10309,1499,32653
2024-11-16T19:13:11.736271,10309,1499,32654
2024-11-16T19:14:21.103927,10309,1499,32657
2024-11-16T19:15:30.111402,10309,1499,32658
2024-11-16T19:16:39.884045,10309,1499,32660
2024-11-16T19:17:49.044765,10309,1499,32662
2024-11-16T19:18:58.543457,10309,1499,32663
2024-11-16T19:20:08.256122,10309,1499,32664
2024-11-16T19:21:17.878199,10309,1499,32668
2024-11-16T19:22:27.113748,10309,1499,32673
2024-11-16T19:23:36.506239,10309,1499,32676
2024-11-16T19:24:45.680018,10309,1499,32679
2024-11-16T19:25:55.103517,10309,1499,32679
2024-11-16T19:27:04.458699,10309,1499,32682
2024-11-16T19:28:14.245189,10309,1499,32685
2024-11-16T19:29:36.587533,10309,1499,32685
2024-11-16T19:30:45.564121,10309,1499,32685
2024-11-16T19:31:55.018443,10309,1499,32687
2024-11-16T19:33:08.489620,10309,1499,32691
2024-11-16T19:34:18.883404,10309,1499,32693
2024-11-16T19:35:33.839630,10309,1499,32697
2024-11-16T19:36:44.435865,10309,1499,32698
2024-11-16T19:37:54.258134,10309,1499,32699
2024-11-16T19:39:04.094413,10309,1499,32700
2024-11-16T19:40:13.228587,10309,1499,32700
